DATE,COMPOUT
2007-03-28,2052.783302814
2007-04-04,2040.233118996
2007-04-11,2050.846917795
2007-04-18,2035.570902298
2007-04-25,2045.042346365
2007-05-02,2047.001146678
2007-05-09,2080.105174019
2007-05-16,2086.932945794
2007-05-23,2087.778561957
2007-05-30,2110.231134105
2007-06-06,2115.452935702
2007-06-13,2117.469666014
2007-06-20,2134.10402029
2007-06-27,2144.108421874
2007-07-04,2170.909890662
2007-07-11,2179.984755726
2007-07-18,2195.41413232
2007-07-25,2222.82543379
2007-08-01,2213.304603343
2007-08-08,2222.537166601
2007-08-15,2134.133804144
2007-08-22,2041.595347248
2007-08-29,1978.671981013
2007-09-05,1922.634808802
2007-09-12,1914.170864835
2007-09-19,1866.537370036
2007-09-26,1855.686705851
2007-10-03,1859.458689242
2007-10-10,1860.867090844
2007-10-17,1865.53552431
2007-10-24,1872.763203964
2007-10-31,1880.808722234
2007-11-07,1864.255837837
2007-11-14,1862.909283084
2007-11-21,1843.202148403
2007-11-28,1856.724713131
2007-12-05,1848.548269558
2007-12-12,1836.590412219
2007-12-19,1781.88223609
2007-12-26,1785.858322964
2008-01-02,1795.402342104
2008-01-09,1812.751317372
2008-01-16,1848.467318446
2008-01-23,1845.340729963
2008-01-30,1857.337157905
2008-02-06,1844.468996754
2008-02-13,1832.039284094
2008-02-20,1813.309857459
2008-02-27,1840.443490676
2008-03-05,1861.678016927
2008-03-12,1844.186242557
2008-03-19,1832.698390233
2008-03-26,1832.283659767
2008-04-02,1826.700456285
2008-04-09,1819.902702028
2008-04-16,1809.791935264
2008-04-23,1785.496412099
2008-04-30,1764.801621218
2008-05-07,1753.862628071
2008-05-14,1734.864194754
2008-05-21,1755.004440988
2008-05-28,1753.951906978
2008-06-04,1755.290463228
2008-06-11,1771.699238843
2008-06-18,1751.398558918
2008-06-25,1752.476589569
2008-07-02,1779.650061656
2008-07-09,1759.056335287
2008-07-16,1749.771678088
2008-07-23,1743.988673984
2008-07-30,1727.939140851
2008-08-06,1725.093122113
2008-08-13,1746.696806857
2008-08-20,1787.34229258
2008-08-27,1794.293886113
2008-09-03,1804.141762847
2008-09-10,1815.037312916
2008-09-17,1764.374544389
2008-09-24,1702.789226421
2008-10-01,1607.704818598
2008-10-08,1550.845658348
2008-10-15,1510.519167334
2008-10-22,1449.140227098
2008-10-29,1549.586112826
2008-11-05,1600.129075218
2008-11-12,1603.050369495
2008-11-19,1614.159009492
2008-11-26,1640.258257262
2008-12-03,1651.802148638
2008-12-10,1700.367052255
2008-12-17,1709.049199751
2008-12-24,1701.959762407
2008-12-31,1681.539176212
2009-01-07,1764.532411342
2009-01-14,1718.681653028
2009-01-21,1688.452994768
2009-01-28,1589.608246649
2009-02-04,1585.2162287
2009-02-11,1553.831978954
2009-02-18,1521.240638225
2009-02-25,1524.40906349
2009-03-04,1480.093225315
2009-03-11,1484.002989838
2009-03-18,1476.431822105
2009-03-25,1491.317312164
2009-04-01,1476.468540979
2009-04-08,1533.443386063
2009-04-15,1473.773058148
2009-04-22,1472.054900961
2009-04-29,1422.342745171
2009-05-06,1379.139759008
2009-05-13,1298.054199219
2009-05-20,1284.031046875
2009-05-27,1248.147402344
2009-06-03,1244.571558594
2009-06-10,1229.750871094
2009-06-17,1202.014175781
2009-06-24,1154.173228958
2009-07-01,1135.909705198
2009-07-08,1136.398550781
2009-07-15,1096.667523438
